Time,5,10,15,30,50,120,240,360,600,790,1024,2560
145,2.5306E+02,5.2330E+03,9.0063E+04,1.7783E+08,7.4989E+11,2.1544E+20,5.8780E+27,5.0802E+31,6.3096E+35,3.6184E+37,8.7514E+38,1.2367E+42
150,2.8289E+02,6.4938E+03,1.2328E+05,3.1623E+08,1.7783E+12,1.0000E+21,4.9239E+28,5.8171E+32,1.0000E+37,6.5940E+38,1.7800E+40,3.2302E+43
155,3.1623E+02,8.0584E+03,1.6876E+05,5.6234E+08,4.2170E+12,4.6416E+21,4.1246E+29,6.6608E+33,1.5849E+38,1.2017E+40,3.6205E+41,8.4372E+44
160,3.5350E+02,1.0000E+04,2.3101E+05,1.0000E+09,1.0000E+13,2.1544E+22,3.4551E+30,7.6270E+34,2.5119E+39,2.1899E+41,7.3641E+42,2.2038E+46
165,3.9516E+02,1.2409E+04,3.1623E+05,1.7783E+09,2.3714E+13,1.0000E+23,2.8943E+31,8.7333E+35,3.9811E+40,3.9908E+42,1.4979E+44,5.7564E+47
170,4.4173E+02,1.5399E+04,4.3288E+05,3.1623E+09,5.6234E+13,4.6416E+23,2.4245E+32,1.0000E+37,6.3096E+41,7.2728E+43,3.0466E+45,1.5036E+49
175,4.9380E+02,1.9110E+04,5.9255E+05,5.6234E+09,1.3335E+14,2.1544E+24,2.0309E+33,1.1450E+38,1.0000E+43,1.3254E+45,6.1967E+46,3.9273E+50
180,5.5200E+02,2.3714E+04,8.1113E+05,1.0000E+10,3.1623E+14,1.0000E+25,1.7013E+34,1.3111E+39,1.5849E+44,2.4153E+46,1.2604E+48,1.0258E+52
185,6.1705E+02,2.9427E+04,1.1103E+06,1.7783E+10,7.4989E+14,4.6416E+25,1.4251E+35,1.5013E+40,2.5119E+45,4.4017E+47,2.5636E+49,2.6794E+53
190,6.8978E+02,3.6517E+04,1.5199E+06,3.1623E+10,1.7783E+15,2.1544E+26,1.1938E+36,1.7191E+41,3.9811E+46,8.0215E+48,5.2144E+50,6.9987E+54
195,7.7108E+02,4.5316E+04,2.0806E+06,5.6234E+10,4.2170E+15,1.0000E+27,1.0000E+37,1.9684E+42,6.3096E+47,1.4618E+50,1.0606E+52,1.8281E+56
200,8.6195E+02,5.6234E+04,2.8480E+06,1.0000E+11,1.0000E+16,4.6416E+27,8.3768E+37,2.2539E+43,1.0000E+49,2.6640E+51,2.1573E+53,4.7749E+57
205,9.6354E+02,6.9783E+04,3.8986E+06,1.7783E+11,2.3714E+16,2.1544E+28,7.0170E+38,2.5809E+44,1.5849E+50,4.8548E+52,4.3878E+54,1.2472E+59
210,1.0771E+03,8.6596E+04,5.3367E+06,3.1623E+11,5.6234E+16,1.0000E+29,5.8780E+39,2.9552E+45,2.5119E+51,8.8473E+53,8.9248E+55,3.2577E+60
215,1.2041E+03,1.0746E+05,7.3053E+06,5.6234E+11,1.3335E+17,4.6416E+29,4.9239E+40,3.3839E+46,3.9811E+52,1.6123E+55,1.8153E+57,8.5092E+61
220,1.3460E+03,1.3335E+05,1.0000E+07,1.0000E+12,3.1623E+17,2.1544E+30,4.1246E+41,3.8747E+47,6.3096E+53,2.9382E+56,3.6923E+58,2.2226E+63
225,1.5046E+03,1.6548E+05,1.3689E+07,1.7783E+12,7.4989E+17,1.0000E+31,3.4551E+42,4.4367E+48,1.0000E+55,5.3546E+57,7.5100E+59,5.8055E+64
230,1.6819E+03,2.0535E+05,1.8738E+07,3.1623E+12,1.7783E+18,4.6416E+31,2.8943E+43,5.0802E+49,1.5849E+56,9.7580E+58,1.5275E+61,1.5164E+66
235,1.8802E+03,2.5483E+05,2.5650E+07,5.6234E+12,4.2170E+18,2.1544E+32,2.4245E+44,5.8171E+50,2.5119E+57,1.7783E+60,3.1069E+62,3.9608E+67
240,2.1017E+03,3.1623E+05,3.5112E+07,1.0000E+13,1.0000E+19,1.0000E+33,2.0309E+45,6.6608E+51,3.9811E+58,3.2407E+61,6.3195E+63,1.0346E+69
